read_name,ont_barcode,index_barcode
a2b8fdf4-b25a-4657-8c7e-7937b3cd6ea2 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=12377 ch=36 start_time=2022-06-03T14:04:54Z barcode=bw_000,BC33,000
b66d5be2-2555-4acc-af66-4a24040b9edc runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=11469 ch=122 start_time=2022-06-03T14:03:54Z barcode=bw_000,BC33,000
05d8cbb1-0eed-4ac9-85c1-1b4744610e62 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=11499 ch=122 start_time=2022-06-03T14:04:18Z barcode=bw_000,BC33,000
27d30bf2-871f-46b0-b1eb-68ecda46a88e runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=9579 ch=51 start_time=2022-06-03T13:36:05Z barcode=bw_000,BC33,000
eb45825b-09d4-419e-a4a9-9ee17f059065 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=9405 ch=105 start_time=2022-06-03T13:36:25Z barcode=bw_000,BC33,000
95c71e1c-bf44-4e8f-bbfa-93405858e3f8 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=8109 ch=123 start_time=2022-06-03T13:35:48Z barcode=bw_000,BC33,000
da34d42b-74c1-4a03-9f06-9f880fe209ba runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=16722 ch=81 start_time=2022-06-03T14:28:32Z barcode=bw_000,BC33,000
6f2a2b9b-0487-485e-bb88-751027929320 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14697 ch=66 start_time=2022-06-03T14:27:20Z barcode=bw_000,BC33,000
da52ac44-9256-4fb6-8747-7da702166218 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=15722 ch=92 start_time=2022-06-03T14:27:33Z barcode=bw_000,BC33,000
f6d02539-0731-454c-859e-ffff13f15583 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=15763 ch=92 start_time=2022-06-03T14:28:11Z barcode=bw_000,BC33,000
22431317-b093-4ad7-bada-ccec2f04ec38 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=7178 ch=83 start_time=2022-06-03T13:10:47Z barcode=bw_000,BC33,000
8e5f3903-f65e-4256-9833-63b82f72b629 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6898 ch=2 start_time=2022-06-03T13:10:51Z barcode=bw_000,BC33,000
d9910187-5b83-4494-bd00-f0cfcd165501 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6781 ch=6 start_time=2022-06-03T13:09:16Z barcode=bw_000,BC33,000
9b4ab359-2dcd-4796-a447-2b17ffb605be runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6881 ch=105 start_time=2022-06-03T13:10:22Z barcode=bw_000,BC33,000
a066f4c5-2354-457c-b908-83760239a1ea runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5331 ch=6 start_time=2022-06-03T12:56:09Z barcode=bw_000,BC33,000
b54c0060-5294-4c32-a847-79615dae4588 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5297 ch=65 start_time=2022-06-03T12:56:14Z barcode=bw_000,BC33,000
7a3e2b13-dd14-47bc-923c-ab0cacb3fe8b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5072 ch=88 start_time=2022-06-03T12:56:45Z barcode=bw_000,BC33,000
7614d3d1-7dcf-44ae-a146-5bacd7a885cb runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=12257 ch=51 start_time=2022-06-03T14:07:52Z barcode=bw_000,BC33,000
5bc9232c-a073-4f16-9f91-e014a7319996 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14485 ch=81 start_time=2022-06-03T14:08:58Z barcode=bw_000,BC33,000
d05e31c8-c379-4426-bd9e-3e07089d80e0 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6478 ch=83 start_time=2022-06-03T13:04:11Z barcode=bw_000,BC33,000
5139d066-5e16-4ed6-87f7-06302eee4a06 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6331 ch=65 start_time=2022-06-03T13:05:17Z barcode=bw_000,BC33,000
65038bfa-6dde-4bfa-8cd6-9a39c324c283 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6461 ch=104 start_time=2022-06-03T13:05:25Z barcode=bw_000,BC33,000
ebde0788-2967-4f49-b8a6-553e63a6d901 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6428 ch=68 start_time=2022-06-03T13:04:30Z barcode=bw_000,BC33,000
6f398e18-b51b-4ff5-9e5b-985424143b6f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5182 ch=97 start_time=2022-06-03T13:04:25Z barcode=bw_000,BC33,000
b94f2647-b2f0-4c9d-98c7-8c3bbbd3b2f6 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=15448 ch=51 start_time=2022-06-03T14:42:44Z barcode=bw_000,BC33,000
16e99357-052d-463f-bf4c-10835bc4d4d6 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14870 ch=93 start_time=2022-06-03T14:41:50Z barcode=bw_000,BC33,000
ac6c1b6b-ca52-4634-ad7e-26690c61111c runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=15081 ch=13 start_time=2022-06-03T14:41:50Z barcode=bw_000,BC33,000
f28260d7-8705-40ea-8757-4f9c502a4944 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24279 ch=26 start_time=2022-06-03T16:17:47Z barcode=bw_000,BC33,000
b67074a3-9afb-4f9c-a46a-586c6a83d875 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24048 ch=108 start_time=2022-06-03T16:21:05Z barcode=bw_000,BC33,000
9c1fbf69-adf1-4fdd-b236-7f188b603236 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24483 ch=26 start_time=2022-06-03T16:19:32Z barcode=bw_000,BC33,000
da12abf1-d97a-459c-a63d-7f437980c31b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24392 ch=36 start_time=2022-06-03T16:17:00Z barcode=bw_000,BC33,000
9e07d0e8-3de4-452b-885d-6eea75531cfe runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=100540 ch=3 start_time=2022-06-03T16:16:41Z barcode=bw_000,BC33,000
6bbaf5a6-4c56-43bb-9759-1f607d9a845f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=21316 ch=113 start_time=2022-06-03T16:06:18Z barcode=bw_000,BC33,000
92d14791-f124-4ed8-b960-7e8f34339047 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=94437 ch=3 start_time=2022-06-03T16:08:19Z barcode=bw_000,BC33,000
5d756b35-0387-4dd2-92bd-4be694b5ac6a runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=22125 ch=105 start_time=2022-06-03T16:06:25Z barcode=bw_000,BC33,000
0125fa89-799a-452d-ac9a-cf7c8fdb4733 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5352 ch=66 start_time=2022-06-03T12:53:14Z barcode=bw_000,BC33,000
14514543-9390-4a57-adcb-8ae3f4de90e7 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4899 ch=6 start_time=2022-06-03T12:52:58Z barcode=bw_000,BC33,000
b799a8aa-1c82-4239-a5a6-3080f9ed2829 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4698 ch=40 start_time=2022-06-03T12:53:56Z barcode=bw_000,BC33,000
f82ffc93-8959-4d36-a790-789c13077279 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4530 ch=110 start_time=2022-06-03T12:53:46Z barcode=bw_000,BC33,000
e3371c53-f7f5-49de-8b54-ac654ff7df79 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4852 ch=124 start_time=2022-06-03T12:52:38Z barcode=bw_000,BC33,000
b073cf92-ba4c-4fc4-b234-f5e45c9aa641 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=13692 ch=97 start_time=2022-06-03T14:38:18Z barcode=bw_000,BC33,000
cf43bad4-91d4-46d9-bd71-cdc215bdb914 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=12911 ch=106 start_time=2022-06-03T14:39:27Z barcode=bw_000,BC33,000
2722d2d7-25f2-4770-a656-e5feefa601bc runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14738 ch=108 start_time=2022-06-03T14:39:21Z barcode=bw_000,BC33,000
f8cd58d3-ef4a-4d81-bb69-429e5edaa9e7 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=20551 ch=93 start_time=2022-06-03T15:48:42Z barcode=bw_000,BC33,000
1167cc45-5912-4fb3-bfca-0e061e16504a runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=17715 ch=82 start_time=2022-06-03T15:47:27Z barcode=bw_000,BC33,000
856cfb88-2cc8-4972-93fc-938c91d33023 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=20556 ch=24 start_time=2022-06-03T15:50:38Z barcode=bw_000,BC33,000
436ef78b-212d-4d6e-9f4c-0de40b56a968 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=29389 ch=57 start_time=2022-06-03T17:11:52Z barcode=bw_000,BC33,000
7d8e86fa-6f58-4352-9362-4b80ac3701e4 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=142600 ch=3 start_time=2022-06-03T17:17:00Z barcode=bw_000,BC33,000
4a4b93a7-28bc-46ef-a0be-899004507332 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=29454 ch=57 start_time=2022-06-03T17:12:31Z barcode=bw_000,BC33,000
dbd34f29-8cfc-40b6-893c-288e5e10763d runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=28684 ch=13 start_time=2022-06-03T17:19:56Z barcode=bw_000,BC33,000
843240e5-8640-4fc7-a71e-546e235c0571 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=12147 ch=51 start_time=2022-06-03T14:06:27Z barcode=bw_000,BC33,000
